NAME,ADDRESS,CITY,ZIPCODE,PHONE,COUNTY,TYPE,PURCHASING OPTIONS,WEB
Penny Pincher #1,548 S Main St,Myrtle Creek,97457,(541) 863-5268,Douglas,distributor,,
Hodge Distributor Inc.,1893 Roseburg Rd,Myrtle Point,97459,(541) 572-2926,Coos,distributor,,
Bretthauer Oil Co -Hancock,2600 E. Hancock,Newberg,97132,(503) 640-4518,Yamhill,wholesaler/distributor,,
Wilco Farm Stores,2300 E Hancock St,Newberg,97132,(503) 537-2659,Yamhill,wholesaler/ distributor,sells packaged 5 gal. contianers,
Newport Towne Pump #92,313 N Coast Hwy,Newport,97365,541-265-8055,Lincoln,retailer,,
Newport Towne Pump #92,313 N. coast Hwy,Newport,97365,541-265-8055,Lincoln,retailer,,
Port Of Newport,600 SE Bay Blvd,Newport,97365,(541) 867-3321,Lincoln,retailer,fuel dock,http://www.portofnewport.com/index.php
Carson-Davis Oil Co,280 Newmark,North Bend,97459,(541) 756-3426,Coos,wholesaler/ distributor,sells non-blended fule to the public by the barrel only,
Steve's ATV Rentals,68512 Highway 101,North Bend,97459,(541) 751-1800,Coos,retailer,,
"Tyree Oil, Inc",341 Newmark Ave,North Bend,97459,(541) 756-9776,Coos,distributor,sells non-blended fuel to the public by the barrel only,
Wagon Wheel Grocery,69845 Wildwood Rd,North Bend,97459,(541) 759-3409,Coos,retailer,,
Noti Market,22528 Noti Loop Rd,Noti,97461,(541) 935-2582,Lane,retailer,,
Valley Wide Cooperative Nyssa,18 N 2nd St,Nyssa,97913,(541) 372-2254,Malheur,retailer,,
Owyhee Grocery,2499 Hwy 201,Nyssa ,97913,(541) 372-2121,Malheur,retailer,,
Grant's Petroleum Inc.,520 SE 1st Ave,Ontario,97914,(541) 889-6812,Malheur,wholesaler/ distributor,,
Farmers Supply Coop #7,1115 S Oregon St,Ontario ,97914,(541) 889-9808,Malheur,retailer,,
Poole Oil Inc,1030 NW Washington Ave,Ontario ,97914,(541) 889-4200,Malheur,wholesaler/distributor,,
Poole Oil Inc Ontario,324 E Idaho Ave,Ontario ,97914,(541) 889-4448,Malheur,wholesaler/distributor,,
"Stein Oil Co., Inc #98",13001 Clackamas River Dr.,Oregon City,97045,(503) 656-0375,Oregon City,wholesaler,,http://steinoil.com/
Fischer Mill Supply Inc.,20990 S Fischer Mill Rd,Oregon City,97045,(503) 631-3411,Clackamas,wholesaler/ distributor,,
Sportcraft Landing,1701 Clackamette Dr.,Oregon City,97045,503-449-6667,Clackamas,retailer,,
Wilco Farm Stores,19224 S Molalla Ave,Oregon City,97045,(503) 656-0616,Clackamas,wholesaler/ distributor,sells packaged 5 gal. contianers,
Chewaucan Garage,433 Hwy 331,Paisley,97636,(541) 943-3124,Lake,retailer,,
Jim's Market,6045 Dee Hwy,Parkdale,97041,(541) 352-7101,Hood River,retailer,,
Court St. Shell,335 SE Court,Pendleton,97801,(541) 980-7642,Umatilla,retailer,,
Rocket Mart,1700 SW Emigrant St.,Pendleton,97801,541-276-2798,Umatilla,retailer,,
Byrnes Oil Company Inc. - Pilot Rock,NW Cedar,Pilot Rock,97868,N/A,Umatilla,wholesale/distributor,cardlock ,http://byrnesoil.com
Pleasant Hill Cardlock,35310 Hwy 58,Pleasant Hill,97455,253-867-3281,Lane,wholesale/distributor,cardlock,
Hodge Distributor Inc Port Orford,1360 14th St,Port Orford,97465,(541) 572-2926,Curry,distributor,,
Port of Port Orford,300 Dock Rd,Port Orford,97465,(541) 332-7121,Curry,retailer,,http://www.portofportorford.com
Junction Service,9125 NE MLK Blvd,Portland,97211,503-289-5558,Multnomah,retailer,,
Junction Service,9125 NE MLK Blvd,Portland,97211,503-289-5558,Multnomah,retailer,,
Tyee Yacht Club,2929 NE Marine Drive,Portland,97211,(503) 284-4772,Multnomah,retailer,,
Carson Oil SE 8th Cardlock,1208 SE 8th,Portland,97214,(503) 224-8500,Multnomah,wholesaler/ distributor,,
Columbia River Yacht Club,37 NE Tomahawk Island Dr,Portland,97211,(503) 289-6561,Multnomah,retailer,fuel dock,http://www.cryc.com/
Donaldson's Marina Gas Dock,3501 Marine Drive,Portland,97211,(503) 288-6169,Multnomah,retailer,,
Fred's Marina,12800 NE Marina Way,Portland,97321,(503) 286-5537,Multnomah,retailer,,http://fredsmarina.com/Freds/Welcome.html
Rocky Pointe Marina,23586 NW St. Helens Rd,Portland,97231,(503) 543-7003,Multnomah,retailer,fuel dock,http://www.rpmarina.com
Jantzen Bay Fuel,12010 N Jantzen Dr,Portland ,97217,(503) 289-3265,Multnomah,retailer,,
Portland Yacht Club Inc,1241 NE Marine Drive ,Portland ,97211,(503) 285-1922,Multnomah,retailer,,http://www.portlandyc.com/
Powell Butte Country Store,13673 SW Highway 126,Powell Butte,97753,(541) 548-4328,Crook,retailer,,
Main Pit Stop,999 NW Main,Prineville,97754,(541) 447-3003,Crook,retailer,,
Carson Oil Company Inc Prineville,1720 N Lamonta Rd,Prineville,97754,(541) 447-6581,Crook,wholesaler/ distributor,,
Miller Oil,2158 O'Neil Hwy,Prineville,97754,(541) 416-1078,Crook,distributor,,
Overall Petroleum,155 N Lamonta Rd,Prineville,97754,(541) 447-2633,Crook,retailer,,
Prineville Reservoir Resort,19600 SE Juiper Canyon Rd,Prineville,97754,(541) 447-7468,Crook,retailer,,
Richi's Place,14749 SE Juniper Canyon Rd,Prineville ,97754,(541) 447-4470,Crook,retailer,,
Cascade Gorge Store Prospect,2651 Mill Creek Rd,Prospect,97536,N/A,Jacskson,retailer,,
Prospect Service Center Inc.,540 Mill Creek Dr,Prospect,97536,(541) 826-9030,Jackson,retailer,,http://www.prospectservicecenter.com/
Scipio's Goble Landing,70360 Columbia River,Rainer,97048,(503) 556-6510,Columbia,retailer,,
CFN Redmond,244 E Antler Boulevard,Redmond,97756,(541) 382-3961,Deschutes,wholesaler/distributor,cardlock,
Juniper Fuel,213 E Antler Ave,Redmond,97756,(541) 548-1035,Deschutes,distributor,,
Polar Bear Gas & Wash,722 NW 6th St,Redmond ,97756,(541) 548-5393,Deschutes,retailer,,
Recreation Station,1575 Hwy 101,Reedsport,97467,541-271-1222,Douglas,retailer,,
Loon Lake Lodge/RV Resort,9011 Loon Lake Rd,Reedsport ,97467,(541) 599-2244,Douglas,retailer,,
Tyree Oil Inc Reedsport,229 Port Dock Rd,Reedsport ,97467,(541) 271-2411,Douglas,wholesaler,,
Jetty Fishery,27550 Hwy 101 N,Rockaway Beach,97136,(503) 368-5748,Tillamook,retailer,,
Rogue River 76,125 Depot St.,Rogue River,97537,541-582-1664,Grants Pass,retailer,,
CFN - The Jerry Brown Company,1578 NE Airport Rd,Roseburg,97470,N/A,Douglas,retailer,,
Douglas County Farmers Co-op Shell,3171 NE Stephens St,Roseburg,97470,N/A,Douglas,retailer,,
Ok's Auto Supply,1082 NE Stephens,Roseburg,97470,(541) 672-5848,Douglas,retailer,,
"RSC Equipment Rental, Inc",2661 NE Stephens,Roseburg,97470,(541) 677-1959,Douglas,retailer,,
River Forks Market,4342 Garden Valley Rd,Roseburg ,97470,(541) 673-3320,Douglas,retailer,,
Squirrel Hill Cardlock,7832 Squirrel Hill S,Salem,97306,253-867-3271,Marion,retailer,,
Marc Nelson Oil Products,810 Lancaster Dr. SE,Salem,97302,503-363-7676,Marion,wholesaler,,
"Squirrel Hill Cardlock -Petrocard, Inc.",7832 Squirrel Hill S.,Salem,97306,253-867-3271,Marion,Cardlock,,
Marc Nelson Oil Products Inc,810 Lancaster Dr SE,Salem,97302,N/A,Marion,retailer,,
Lincoln Store,5925 Wallace Rd,Salem,97304,(503) 370-9886,Marion,retailer,sells 87 octane (regular unleaded) to the public,
"Marc Nelson Oil Products, Inc",1977 Claxter Rd NE,Salem,97303,(503) 363-7676,Marion,retailer,Sell non-ethanol 87 & 91 octane gasoline to the public through pumps and bulk tank customers,http://www.marcnelsonoil.com
Quality Gas LLC,2385 Salem Dallas Hwy,Salem,97304,(503) 385-8133,Polk,retailer,,
Cleverger's Automotive,38955 Hwy 226,Scio,97374,(503) 394-3302,Linn,retailer,,
Seaside Gulf Automotive,1883 S. Roosevelt,Seaside,97138,(360) 789-7236,,,,
Jackson & Son Oil,84721 Happel Ln.,Seaside,97138,(503) 738-5833,Clatsop,distributor,,
Malet Quick Stop Lilac,38012 Hwy 26,Seaside,97138,(503) 738-0302,Clatsop,retailer,,
Hamlet Quick Stop LLC,38012 Hwy 26,Seaside ,97138,(503) 738-0302,Clatsop,retailer,,
Wilson Oil Inc Seaside,924 24th St,Seaside ,97138,(503) 325-3122,Clatsop,wholesaler,,
Selma Station LLC,18092 Redwood Hyw,Selma,97538,(541) 597-2248,Josephine,retailer,,http://www.selma.station@frontier.com
Shady Cove- Upper Rogue 76,21882 Hwy 62,Shady Cove,97539,(541) 878-2740,Jackson,retailer,,
Siletz Gas & Mini Mart,315 S Gaither St,Siletz,97380,(541) 444-1214,Lane,retailer,,
Ed Staub & Sons Petroleum,53327 3rd St,Silver Lake,97638,(541) 576-2111,Lake,wholesaler/ distributor,,
Wilco Farm Stores,734 Mcclaine St,Silverton,97381,(503) 873-8318,Marion,wholesaler/ distributor,sells packaged 5 gal. contianers,
Space Age Fuel #16,411 W. Cascade St.,Sisters,97759,541-549-0537,Deschutes,Retailer,,
"Jerry Brown Company, Inc.",1616 N 30Th St.,Springfield,97478,(541) 688-8211,Lane,wholesaler/ distributor,cardlock,
Mathers Market,38477 McKenzie Hwy,Springfield,97478,(541) 726-8570,Lane,retailer,,
Mohawk 76,1376 Mohawk Blvd,Springfiled,97477,N/A,Lane,retailer,,
St. Helens Marina,134 N River Street,St. Helens,97051,(503) 397-4162,Columbia,retailer,fuel dock,
Wilco Farm Stores,1385 N First St,Stayton,97383,(503) 769-6301,Marion,wholesaler/ distributor,sells packaged 5 gal. contianers,
Marc Nelson Oil Products Inc,2010 W Washington St,Stayton ,97383,(503) 363-7676,Marion,retailer,Sell non-ethanol 87 & 91 octane gasoline to the public through pumps and bulk tank customers,http://www.marcnelsonoil.com
Summer Lake Storage,Hwy 31,Summer Lake,97640,541-943-3164,Lake,retailer,,
Stage Stop,120 Sumpter Hwy,Sumpter,97877,(541) 894-2304,Baker,retailer,,
Barnes Fuel Oil Service,248 Calapooia St,Sutherlin,97479,(541) 459-2255,Douglas,retailer,,
Shell Ars 520,33685 Hwy 99 E,Tangent,97389,541-926-6232,Linn,retailer,,
Wilco Farm Stores,33685 Hwy 99E,Tangent,97389,(541) 926-4404,Linn,wholesaler/ distributor,sells packaged 5 gal. contianers,
Carson Terrebonne CFN,8805 11th St,Terrebonne,97760,(541) 382-3961,Deschutes,wholesaler/ distributor,,
Eastside Veltex,2702 E 2nd,The Dalles,97058,(541) 296-5311,Wasco,retailer,,
Hatten Hauer Distributing,201 W 1st Street,The Dalles,97058,(541) 296-3515,Wasco,distributor,,
Hatts 76 Fuel Stop,301 W. 3rd St.,The Dalles,97058,541-296-4829,Wasco,retailer,,
The Dalles Yacht Club,Port Of The Dalles Marina,The Dalles,97058,(541) 296-6411,Wasco,retailer,,http://www.gorge/net/broth
West 2nd Food Mart,1433 W 2nd St,The Dalles,97058,(541) 296-3402,Wasco,retailer,,
Netarts Grocery,4945 Netarts Hwy W.,Tillamook,97141,503-842-4621,Tillamook,Retailer,,
Carson Oil Company,2901 Third St,Tillamook,97141,(541) 842-6312,Tillamook,wholesaler/ distributor,,
Sheldon Oil Co,2801 Third St,Tillamook,97141,(503) 842-2172,Tillamook,distributor,,
South Prairie Store,6730 South Prairie Road,Tillamook,97141,(503) 842-6468,Tillamook,retailer,,
Idaville Corner Market,7495 Alderbrook Rd,Tillamook ,97141,(503) 842-6979,Tillamook,retailer,,
Tillamook Shell/Grocery,15 Main St,Tillamook ,97141,(503) 842-5555,Tillamook,retailer,,
Lost Creek Marina,35211 Hwy 62,Trail,97541,(541) 560-3646,Jackson,retailer,fuel dock,http://www.lost-creek-marina.com/
Stein Oil Co -Sherwood Rd.,9700 Tualatin-Sherwood Rd,Tualatin,97062,(503) 519-8381,Washington,wholesaler/distributor,,
Umatilla Marina Park,1710 Quincy St,Umatilla,97882,(541) 922-3224,Umatilla,retailer,,http://www.umatillarvpark.com
Poole Oil Inc ,302 Main,Unity,97884,(541) 889-3128,Baker,wholesaler/ distributor,,
Farmers Supply Coop #68,550 Harrison St W,Vale ,97918,(541) 889-5365,Malheur,retailer,,
Towne Pump Veneta,24927 Hwy 126,Veneta,97487,,Lane,retailer,,
"Jerry Brown Company, Inc.",25095 Jeans Rd,Veneta,97487,(541) 688-8211,Lane,wholesaler/ distributor,cardlock,
Tyree Oil Inc Veneta,88241 Huston Rd,Veneta ,97487,(541) 687-0076,Lane,wholesaler,,
Goebel's Service Inc,504 West 1st Street,Wallowa ,97885,(541) 886-2811,Wallowa,retailer,,
Wamic Store Inc,57016 Wamic Mkt Rd,Wamic,97063,(541) 544-2333,Wasco,retailer,,
Wheeler Marina,278 Marine Dr,Wheeler ,97147,(503) 368-5780,Tillamook,retailer,,
White City #2 - 76,7640 Crater Lake Hwy,White City,97503,(541) 474-5343,Jackson,retailer,,
White City Pacific Pride,2094 Antelope Rd,White City,97503,(541) 826-2600,Jackson,wholesaler,cardlock with pacific pride 24 hours,
Willamina Shell & Grocery,695 Main St.,Willamina,97396,(503) 876-2145,Yamhill,retailer,,
Williams General Store LLC,20180 Williams Highway,Williams ,97544,(541) 846-6212,Josephine,retailer,,
Stafford Hills 76 & Carwash,8605 SW Elligsen Rd,Wilsonville,97070,503-639-5800,Clackamas,retailer,,
Stafford Hills 76 anc Car Wash,8605 SW Elligsen Rd,Wilsonville,97070,503-682-1063,Clackamas,retailer,,
76 of Wilsonville #6,8605 SW Ellingsen Rd.,Wilsonville,97070,(503) 682-1063,Clackamas,retailer,,
Salmon Harbor Marina,100 Ork Rock Rd,Winchester Bay,97467,(541) 271-3407,Douglas,retailer,fuel dock,http://www.winchesterbayrvresort.com
Winston Auto Fuel,371 Main St,Winston ,97496,(541) 672-2681,Douglas,retailer,,
Wolf Creek 76,221 Old Hwy 99,Wolf Creek,97497,(541) 866-2711,Josephine,retailer,,
Wilco Farmers #170,490 S Pacific Hwy,Woodburn,97071,(800) 328-5339,Marion,wholesaler/ distributor,sells packaged 5 gal. contianers,
Jeremy McDaniel's Auto Rep,2560 Eagle Valley Rd,Yoncalla,97499,(541) 849-2234,Douglas,retailer,,
