NAME,ADDRESS,CITY,ZIPCODE,PHONE,COUNTY,TYPE,PURCHASING OPTIONS,WEB
Country Smoker Outlet,8335 Hwy 101 N.,Bay City,97107,541-377-8222,Tillamook,retailer,,
Carson Oil Co Inc. Beaverton,4905 SW Western Ave,Beaverton,97005,(503) 224-8500,Washington,wholesaler/distributor,,
Cultus Lake Resort,Cultus Lake Area,Bend,97701,(541) 408-1560,Deschutes,retailer,,
Crane Prairie Resort,PO Box 1171,Bend,97709,541-383-3939,Deschutes,retailer,,Amenities (http://www.crane-prairie-resort-guides.com/learning.html)
Westside Foodmart -Truax,912 NW Newport Ave,Bend,97701,541-389-7415,Deschutes,Retailer,,
Bend Oil Co.,913 NE 1st St.,Bend,97701,541-382-4751,Deschutes,retailer,,
Alfalfa Store,26161 Willard Rd,Bend,97701,(541) 382-0761,Deschutes,retailer,,
Bend Cardlock,3305 Hwy 97 N,Bend,97701,(541) 383-2255,Deschutes,wholesaler/distributor,cardlock,
Bend Oil Co. Greenwood,764 NE Greenwood,Bend,97701,(541) 383-2255,Deschutes,retailer,,
Butler Market South,61396 Hwy 97,Bend,97752,(541) 383-0416,Deschutes,retailer,,
Central Petrolium Serv In Redmond,2057 S Hwy 97,Bend,97756,(541) 381-2961,Deschutes,distributor,,
Deschutes Ctry Store Inc,19745 Baker Rd,Bend,97702,(541) 389-0503,Deschutes,retailer,,
Red Carpet Car Wash,1144 NE 3rd,Bend,97701,(541) 383-2652,Deschutes,retailer,,
Elk Lake Resort,60000 Century Dr,Bend ,97702,(541) 383-4499,Deschutes,retailer,,
Horton Market,94636 Horton Rd,Blachly,97412,(541) 925-3290,Lane,retailer,,
Brad's Automotive And Towing,51752 Cascade St,Blue River,97413,(541) 822-3592,Lane,retailer,,
Pacific Pride -Bly,61430 Hwy 140 E,Bly,97622,541-882-4444,Klamath Falls,retailer,,
Devin Oil Co. Inc,101 Front St,Boardman,97818,(541) 481-4876,Morrow,retailer,,
Port Pacific Pride,SE Corner of I-84 & Laurel Ln,Boardman ,97818,(541) 481-4876,Morrow,wholesaler,cardlock with pacific pride 24 hours,
Boring Petrolium,28320 SE Hwy 212,Boring,97009,(360) 887-0868,Clackamas,distributor,,
Port of Brookings,16408 Lower Harbor Rd,Brookings,97415,(541) 469-2218,Curry,retailer,,http://www.port-brookings-harbor.org
Brownsville Body Shop,105 E Bishop Way,Brownsville,97327,(541) 466-5845,Linn,retailer,,
Lr Swarthout Inc,19 W Monroe,Burns,97720,(541) 573-6316,Harney,retailer,,
Oard's Service & Garage,42456 Hwy 20E,Burns ,97720,(541) 493-2535,Harney,retailer,,
Butte Falls Service Station,"326 Broad St,",Butte Falls,97355,541-865-7800,Jackson,retailer,,
Kay's Market,18493 Hwy 42 Rd,Camas Valley,97416,(541) 445-2318,Douglas,retailer,,
Ernie Graham,601 SW 1St Ave,Canby,97013,(503) 266-3321,Clackamas,retailer,,
Wilco Farm Stores,195 East Hazeldell Way,Canby,97013,(503) 266-2213,Clackamas,wholesaler/ distributor,sells packaged 5 gal. contianers,
Fast Break of Oregon LLC Canyon City,133 N. Washington St,Canyon City,97820,541-575-1348,Klamath,retailer,,
Ed Staub & Sons 131,131 N Washington St,Canyon City,97820,(541) 575-1348,Grant,wholesaler/ distributor,,
Penny Pinchers #2,385 W Main St,Canyonville,97417,(541) 863-5268,Douglas,distributor,,
Carlton Corners,150 N Yamhill St,Carlton,97111,(503) 852-7439,Yamhill,retailer,,
Hays Oil Co,191 Bateman Dr,Central Point,97503,(541) 772-6181,Jackson,wholesaler/ distributor,,
Burns' Davey Jones Locker,91139 Cape Arago Hwy,Charleston,97420,(541) 888-3941,Coos,retailer,,
Russell's Marine Fuel & Supply LLC,63657 Boat Basin Rd,Charleston,97420,(541) 888-4711,Coos,retailer,in water boats only,
Low Pass Station & Market,22501 Hwy 36,Cheshire,97419,(541) 998-6066,Lane,retailer,,
Christmas Valley Market,87497 Christmas Valley Rd,Christmas Valley,97641,(541) 576-2200,Lake,retailer,,
Astro/Chevron #239,12479 SE 82nd Ave.,Clackamas,97086,(503) 654-0811,Clackamas,retailer,,
Carson Oil Clackamas Cardlock,9911 SE Elon,Clackamas,97015,(503) 224-8500,Clackamas,retailer,,
Sandlake Grocery,20960 Sandlake Rd,Cloverdale,97112,(503) 965-6152,Tillamook,retailer,,
Coos Bay Pacific Pride,62590 Hwy 101 S,Coos Bay,97420,(541) 756-3426,Coos ,wholesale/distributor,cardlock with pacific pride 24 hours,http://www.carsonoil.com
Englewood Market,1434 Southwest Blvd,Coos Bay,97420,(541) 269-2717,Coos,retailer,,
RSC Equipment Rental #578,62530 Highway 101 South,Coos Bay,97420,(541) 269-2520,Coos,retailer,,
T N T Market,899 D St,Coos Bay,97420,(541) 267-2409,Coos,retailer,,
EATA LLC,835 N. Adair,Cornelius,97113,(503) 992-8900,Washington,retailer,,
Wilco Farm Stores,664 Baseline St,Cornelius,97113,(503) 992-1346,Washington,wholesaler/ distributor,sells packaged 5 gal. contianers,
Corvallis Towne Pump #21,820 NW Kings Blvd,Corvallis,97330,541-758-1500,Benton,retailer,,
Oberson Oil Inc. Corvallis,1260 SW 3rd St.,Corvallis,97333,541-753-4131,Benton,wholesale/distributor,,
London Mini Market,73948 London Rd,Cottage Grove,97424,(541) 942-5738,Lane,retailer,,
Welt & Welt Inc,290 Palmer Ave,Cottage Grove,97424,(541) 942-2631,Lane,wholesaler/ distributor,,
Dollars Corner LLC,808 Main St,Cove,97824,(541) 568-4451,Union,retailer,,
Odell Sportsman Center Inc,19954 Hwy 58 N,Crescent,97733,(541) 433-5225,Klamath,retailer,,
Ed Staub & Sons,136350 Hwy 97 N,Crescent ,97733,(541) 433-9511,Klamath,wholesaler/ distributor,,
Hoodo's Crescent Lake Lodge & Resort,22350 Crescent Lake Hwy,Crescent Lake,97425,(541) 433-2505,Klamath,retailer,,http://www.crescentlakeresort.com/
Odell Lake Resort,Hwy 58 East MP 68 Odell Lake Access,Crescent Lake,97733,(541) 433-2540,Klamath,retailer,,
Shelter Cove Resort,W. Odell Lake Rd. Hwy 58,Crescent Lake,97733,(541) 433-2548,Klamath,retailer,fuel dock,http://www.sheltercoveresort.com
Charlie's Trading Post,14238 Commercial Loop Rd,Crooked Rvr Ranch,97760,(541) 923-5451,Jefferson,retailer,,
Cove Palisades Resort,5700 SW Marine Dr,Culver,97734,(541) 546-3521,Jefferson,retailer,fuel dock,http://www.covepalisadesresort.com/
Lake Billy Chinook Hsebts,3R Marina,Culver ,97734,(541) 546-2939,Jefferson,retailer,,
Lake Chinook Village Str,8241 SW Jordan Rd,Culver ,97734,(541) 420-3704,Jefferson,retailer,,
Three Rivers Marina LLC,6235 SW Lakeview Dr,Culver ,97734,(541) 233-8743,Jefferson,retailer,,
Marc Nelson Oil Products,185 W. Ellendale St.,Dallas,97338,503-363-7676,Hood River,Distributor,,
Stu's Auto Service,129 E Ellendale,Dallas,97338,(503) 623-3227,Polk,retailer,,
South Fork Mini Mart,100 E Franklin,Dayville ,97825,(541) 987-2106,Grant,retailer,,
Detroit Lake Marina,115 Breitenbush,Detroit,97342,(503) 854-3423,Marion,retailer,fuel dock,http://detroitlakemarina.com/index.html
Kane's Marina,530 Clester Rd,Detroit,97342,(503) 854-3362,Marion,retailer,fuel dock,http://www.kanesmarina.com
Rivers Run,105 Breitenbush Rd,Detroit ,97342,(503) 854-3039,Marion,retailer,,
Flaming Fuel LLC,605 Applegate Ave,Drain ,97435,(541) 836-2017,Douglas,wholesaler/distributor,,
Valley Wide Cooperative Durkee,35168 Vandecar Road,Durkee ,97905,(541) 877-2222,Baker,retailer,,
O & M Gas & Grocery,395 Albany St,Elgin ,97827,(541) 437-3521,Union,retailer,,
Elkton Station,14940 State Hwy 38,Elkton,97436,(541) 584-2221,Douglas,retailer,,
United Rentals Eugene,3735 W. 11th,Eugene,97402,(541) 465-1235,Lane,retailer,,
Curtis For Service,885 Hwy 99 N,Eugene,"Eugene, OR 97402",(541) 668-5418,Lane,retailer,,
Fuel-N-Go Eugene,33100 A Van Duyn Rd,Eugene,97408,(541) 746-2032,Lane,retailer,,
"Jerry Brown Company, Inc.",2690 Prairie Rd,Eugene,97402,(541) 688-8211,Lane,wholesaler/ distributor,cardlock,
Northwest Solvents & Supply,509 Chambers St,Eugene,97402,(541) 342-3798,Lane,distributor,,http://www.oregondrycleaners.org/northwestsolvents/index.htm
Orchard Point Marina,27060 Clear Lake Rd,Eugene,97402,(541) 461-7886,Lane,retailer,,http://www.lanecounty.org/Departments/PW/Parks/Pages/orchard.aspx
Pacific Roads,2340 Irving Rd.,Eugene,97402,541-246-8040,Lane,retailer,,
Three Oil Inc Eugene Cardlock,1355 W 1St,Eugene,97402,(541) 689-0076,Lane,wholesaler/ distributor,,
Tyree Oil Inc Eugene Cardlock,1355 West 1st Ave,Eugene ,97402,(541) 756-9776,Lane,wholesaler,,
Abhi's One Stop Market,85039 Hwy 101 S,Florence,97439,(541) 997-3242,Lane,retailer,,
Miles Oil Co. Inc,2175 Highway 101 N,Florence,97439,(541) 997-3882,Lane,wholesaler/ distributor,,
Port of Siuslaw,100 Harbor St,Florence,97439,(541) 997-3040,Lane,retailer,fuel dock,http://portofsiuslaw.com/
Garibaldi Marina,302 Mooring Basin,Garibaldi,97118,(503) 332-3312,Tillamook,retailer,,http://www.garibaldimarina.com
Jackson & Son Oil,511 Garibaldi Ave,Garibaldi,97118,(503) 738-5833,Tillamook,wholesaler/ distributor,,
Cow Creek Station,329 Junction Rd,Glendale,97442,(541) 832-3327,Douglas,retailer,,
Central Curry 76,29359 Ellensburg Ave.,Gold Beach,97444,541-247-6010,Curry,retailer,,
Central Curry 76,29359 Ellensburg Ave,Gold Beach,97444,541-247-6010,Curry,retailer,,
Port of Gold Beach,29891 Harbor Way,Gold Beach,97444,(541) 247-6269,Curry,retailer,,http://www.portofgoldbeach.com
Outback At Granite,1844 Center St,Granite ,97877,(541) 755-5300,Grant,retailer,,
Colvin Oil Co,2520 Foothill Blvd,Grants Pass,97526,(541) 479-5343,Josephine,wholesaler/ distributor,,
Colvin Oil Co ,1044 NE 6th,Grants Pass,97526,(541) 476-6642,Josephine,wholesaler/ distributor,,
Grants Pass Pacific Pride,505 SE Rogue River Hwy,Grants Pass,97526,(541) 476-1961,Josephine,wholesaler,cardlock with pacific pride 24 hours,
U-Save Gas & Tackle Lilac,935 Rogue River Hwy,Grants Pass,97527,(541) 476-9871,Josephine,retailer,,
Halfway Feed & Seed,281 South Main Street,Halfway ,97834,(541) 742-2345,Baker,retailer,,
Coleman Service Stations,3459 Hwy 20,Harper,97906,(541) 258-2372,Malheur,retailer,,
Heppner Bulk Plant,733 Riverside Dr,Heppner,97836,(541) 676 9633,Morrow,retailer,,
Heller & Sons Distrib.,395 3rd & Kik St,Hermiston,97838,(541) 567-5682,Umatilla,retailer,,
Short Stop #1,32553 E Punkin Center Rd,Hermiston,97838,(541) 567-9590,Umatilla,retailer,,
McNairy Yacht Club,34099 Beach Shore Drive,Hermiston ,97838,(541) 567-5603,Umatilla,retailer,,http://www.mcnaryyachtclub.com/
Space Age Fuel Inc #15,77522 S Hwy 207,Hermiston ,97838,(541) 564-6254,Umatilla,retailer,,
Laurel Valley Store,14025 SW Campbell Road,Hillsboro,97123,(503) 628-2060,Washington,retailer,,
Ebar Oil Company,604 N Highway 20,Hines ,97738,(541) 573-2976,Harney,retailer,,
Hines Food Mart,203 Hwy 20,Hines ,97738,(541) 573-6341,Harney,retailer,,
Carson Oil Company Inc. - Hood River,2660 Dock Rd,Hood River,97031,(503) 471-4305,Hood River,retailer,,http://www.carsonoil.com
Heights Fuel Stop,1413 12th St,Hood River,97031,(541) 387-0082,Hood River,retailer,,
Hood River Shell,1000 Port Marina Dr,Hood River,97031,(541) 399-2081,Hood River,retailer,,
Hood River Supply Assn,1995 12th St,Hood River,97031,(541) 386-2757,Hood River,retailer,,
Pine Grove Pit Stop,2385 Hwy 35,Hood River,97031,(541) 386-5855,Hood River,retailer,,
Port Of Hood River Marina,1000 E Port Marina Dr,Hood River,97031,(541) 386-1645,Hood River,retailer,,http://www.portofhoodriver.com
Airhaven Inc,29502 S Meridian Rd,Hubbard,97032,(503) 651-2187,Marion,retailer,,
Lemolo Lake Resort,2610 Birds Point Rd.,Idleyld Park,97447,(541) 643-0750,Douglas,retailer,,http://www.lemololakeresort.com/
"Marc Nelson Oil Products, Inc",1477 N Santiam Hwy,Indanha,97350,(503) 363-7676,Marion,reta,Sell non-ethanol 87 & 91 octane gasoline to the public through pumps and bulk tank customers,http://www.marcnelsonoil.com
Jasper Store,36763 Jasper-Lowell,Jasper,97438,(541) 746-2032,Lane,retailer,,
Fast Break of Oregon LLC Hwy 26,Hwy 26 & Patterson,John Day,97845,541-575-1348,Gilliam,retailer,,
Triangle Oil,760 S Canyon Blvd,John Day,97845,(541) 575-1968,Grant,distributor,,
"Jerry Brown Company, Inc.",93244 Hwy 99,Junction City,97448,(541) 688-8211,Lane,wholesaler/ distributor,cardlock,
AMA Mini Mart,7255 S 6th St,Klamath Falls,97603,541-882-3463,Klamath,retailer,,
AMA Mini Mart,7255 S. 6th St.,Klamath Falls,97603,541-882-3463,Klamath Falls,retailer,,
Fuel Good,3320 Washburn Way,Klamath Falls,97603,(541) 883-3349,Klamath,retailer,,
Clough Oil Co Spring,978 Spring St,Klamath Falls,97601,(541) 882-4444,Klamath,retailer,,
Ezell Suty Fuel Inc,2360 S 6th St,Klamath Falls,97601,(541) 273-2700,Klamath,retailer,,
Ferrell's Fuel Network,977 Spring St,Klamath Falls,97601,(541) 884-5167,Klamath,wholesaler/distributor,,
Lake of the Woods Resort,950 Harriman Route,Klamath Falls,97601,(541) 949-8300,Klamath,retailer,fuel dock,http://www.lakeofthewoodsresort.com
Madison Texaco,5800 S Sixth St,Klamath Falls,97603,(541) 885-5478,Klamath,retailer,,
Pelican Marina,928 Front St,Klamath Falls,97601,(541) 882-5834,Klamath,retailer,fuel dock,
Rocky Point Resort,28121 Rocky Point Rd,Klamath Falls,97601,(541) 356-2287,Klamath,retailer,fuel dock,http://www.rockypointoregon.com/
Byrnes Oil Inc,2304 Adams,La Grande,97850,541-963-2757,Union,Distributor,,
By-Rite Texaco Inc.,2112 Island Ave,La Grande,97850,(541) 963-8461,Union,wholesaler/distributor,,
Gas Station Lilac,1508 Adams Ave,La Grande,97850,(541) 786-3835,Union,retailer,,
Oak Street Exxon,408 Adams,La Grande,97850,(541) 963-8461,Union,retailer,,
Starkey Station,58588 Grande Ronde River Rd,La Grande,97850,(541) 428-2121,Union,retailer,,
Gordy's Truck Stop LLC,17045 Whitney Rd,La Pine,97739,541-536-6055,Deschutes,retailer,,
Highlander Motel and Serv,51511 Hwy 97 N.,La Pine,97739,(541) 536-2131,Deschutes,retailer,,
Gordy's Truck Stop Lilac,1700 Burgess Rd,La Pine,97739,(541) 536-6055,Deschutes,retailer,,
La Pine Cardlock,50882 S Hwy 97,La Pine,97739,(541) 433-9511,Deschutes,distributor,,
Tom's Country Market,50882 Hwy 97,La Pine,97739,(541) 536-5043,Deschutes,retailer,,
Wickiup Junction,17045 Whitney Rd,La Pine,97739,(541) 536-2211,Deschutes,retailer,,
Dave's Palisades Shell,1680 S Shore Blvd,Lake Oswego,97034,503-636-7935,Clackamas,retailer,,
Dave's Palasades Shell,1680 S. Shore Blvd,Lake Oswego,97034,503-636-7935,Clackamas,retailer,,
Bill's Service,496 N. State St,Lake Oswego,97034,(503) 636-3504,Clackamas,retailer,,
North Lake R Resort & Marina,2090 North Lake Rd,Lakeside,97449,(541) 759-3515,Coos,retailer,cannot fill trailered boats,http://northlakeresort.com/
Ringo's Lakeside Marina,325 8th Street,Lakeside,97449,(541) 759-3312,Coos,retailer,fuel dock,http://www.ringoslakesidemarina.com
Sunlake Marina,96315 Sunlake Lane,Lakeside,97449,(541) 759-3869,Coos,retailer,,
Lakeview Shell,17697 Hwy 395,Lakeview,97630,(541) 947-4975,Lake,retailer,,
Ed's Fast Break Hwy 395,712 N 4th Street,Lakeview ,97630,(541) 947-2678,Lake,retailer,,
Ed Staub & Sons Petrol 4th,1440 N 4th St,Lakeview ,97630,(541) 947-2101,Lake,wholesaler/ distributor,,
Vanwormer Service,94244 Kerber St,Langlois,97450,(541) 348-2431,Curry,retailer,,
Lebanair Aviation,1600 Airway Rd,Lebanon,97355,(541) 258-5029,Linn,retailer,,
Snow Peak Station,41494 Lacomb Dr,Lebanon ,97355,(541) 451-1008,Linn,retailer,,
Carson Oil Co. Inc. Lincoln City,1603 SE East Devils Lake Rd,Lincoln City,97367,541-994-9115,Lincoln,retailer,,
"Carson Oil Company, Inc. -Lincoln City",1603 SE East Devils Lake Rd,Lincoln City,97365,541-994-9115,Lincoln,retailer,,
OK Garage,151 Hwy 395 N.,Long Creek,97856,541-421-3344,Grant,retailer,,
Wilcox & Flegel,95 Panel Way,Longview,98632,(360) 423-3300,Clark,distributor,,
Lorane Family Store,80301 Territorial Rd,Lorane ,97451,(541) 942-5711,Lane,retailer,,
Bridge Town Market,105 N Moss,Lowell,97452,(541) 937-3124,Lane,retailer,,
